asset,event_type,ym,surprise,actual,forecast,early_bps,net_bps,pnl_timing,pnl_directed,surprise_z
FX,NFP,2024-11,-217.0,12.0,229.0,-33.40100857947448,-42.589560547515724,1.0060708307445552,1.0060708307445552,-2.4499529513656797
FX,CPI,2024-11,0.0,0.2,0.2,-22.426806325972493,-28.228734063251437,,,-0.348394647036325
FX,NFP,2024-12,51.0,227.0,176.0,-22.74772605760478,-60.160263541538804,4.060947795657578,6.75790023939571,0.3559760698565518
FX,CPI,2024-12,0.1,0.3,0.2,-5.897540070506357,-20.431699933161074,-0.9344281644142463,-0.9672140822082334,0.0
FX,NFP,2025-01,43.0,256.0,213.0,-3.817303838297148,0.6743903447659072,1.2904114469679548,0.7496198553201836,0.27221699459618665
FX,CPI,2025-01,0.1,0.4,0.3,-40.891198838231006,-38.910332352455335,3.378381660651298,-0.39277918574953574,0.0
FX,NFP,2025-02,-65.0,143.0,208.0,-7.890583903210624,-8.390320883747693,-2.1519258554693046,-2.1519258554693046,-0.8585305214187425
FX,CPI,2025-02,0.1,0.5,0.4,49.64250232088574,59.34298604211685,0.3609895041755138,0.3609895041755138,0.0
FX,NFP,2025-03,-42.0,151.0,193.0,-20.695097869860568,-27.164432883189924,1.7442092103802107,1.7442092103802107,-0.6177231800451928
FX,CPI,2025-03,-0.4,0.2,0.6,-7.762148939174374,22.856336400107757,-0.8988611768535595,-0.8988611768535595,-1.7419732351816248
FX,NFP,2025-04,89.0,228.0,139.0,28.628814160756022,31.598493800537586,0.5489253899847455,0.5489253899847455,0.7538316773432862
FX,CPI,2025-04,-0.5,-0.1,0.4,-15.062571573009054,3.7622039499685123,-0.31006409504385957,-0.31006409504385957,-2.09036788221795
FX,NFP,2025-05,51.0,177.0,126.0,18.581186289368112,9.778479041666621,-0.37856462237650845,-0.37856462237650845,0.3559760698565518
FX,CPI,2025-05,0.5,0.2,-0.3,3.814423245700471,-8.803553827251287,0.7574098482553424,0.7574098482553424,1.3935785881453
FX,NFP,2025-06,8.0,139.0,131.0,5.199234672654818,25.36533288966636,1.3867256545351268,1.3867256545351268,-0.09422895966791077
