asset,event_type,early_bps,bucket,gross_bps,net_retail_conservative_bps,net_retail_optimistic_bps
FX,NFP,34.29304631176855,mid,0.09202298734134473,-2.57231349025071,-1.9230884685613066
FX,CPI,9.932738578484201,small,-11.242678658855976,-12.352177117036112,-11.928014716770674
FX,NFP,25.071568751010574,mid,0.35992423594866096,-4.0355224762307795,-3.3863924703732446
FX,CPI,23.679623299300843,mid,2.4057447368652785,2.2943020437109056,2.7188626510725293
FX,FOMC,35.498279007486474,mid,4.074085681156081,1.2570264234694322,1.906500109505727
FX,NFP,49.4950776873293,big,1.4585897260599445,-0.2881380727488999,0.13653220439486835
FX,CPI,21.130239110151994,mid,0.7323961714000848,-0.09636386848881318,0.5529403351560273
FX,NFP,31.392549562945238,mid,0.7343255907876767,-0.7392549747338603,-0.31459940853477664
FX,FOMC,7.593787911061023,small,-17.40297609404862,-19.33696138701606,-18.91309560956915
FX,CPI,25.17256143751867,mid,1.6904662399785941,-0.10290296072095162,0.5464824161109497
FX,NFP,23.5219656428165,mid,2.16909511010277,0.1864144972367313,0.835818661360355
FX,CPI,17.5466126478252,small,0.713012477719932,0.901703046383551,1.3264282991424907
FX,FOMC,26.269744024944863,mid,1.29124203136044,-0.6480126951942552,0.0013273283276497017
FX,NFP,0.5828666352558631,small,1.2625956051981468,-0.21369277844533985,0.21098510680146487
FX,CPI,41.87856671454604,big,1.3539782783178467,-0.6851527929248477,-0.03580522542416775
FX,FOMC,11.900020633101027,small,0.7210463825091384,0.99132505450279,1.6405586319049985
FX,NFP,34.06949792065017,mid,-16.857396062111007,-10.87378634266738,-10.449561159581888
FX,CPI,40.12248933040752,mid,3.5347152617382083,3.608100508177126,4.032605321798011
FX,NFP,18.14171720101898,small,-2.023807333543237,-2.20417538504396,-1.5549264577181972
FX,CPI,34.148334121255616,mid,-43.56680319428929,-43.12164885894436,-42.69879314575302
FX,FOMC,16.283123967930635,small,1.010653203541434,-0.45791455278458815,0.19144777079689346
FX,NFP,21.566309634456495,mid,3.068965984120986,2.0947505282646444,2.743912457609366
FX,CPI,23.60009548129982,mid,2.157332458416761,-1.9667646706807314,-1.3175003267070102
FX,NFP,25.185250529285995,mid,0.9276191990670313,-0.06214636440975385,0.5871556174101403
FX,FOMC,4.4523401235196935,small,2.1164301115095263,-0.5457808999782984,-0.12109968138345162
FX,CPI,12.417330273992722,small,3.146152255790735,0.23509000155281823,0.6597869452588782
FX,NFP,20.728158743513745,small,0.9213395399443325,0.9853421180209935,1.4099583136421683
FX,CPI,30.30342782930351,mid,1.0463443344810308,-0.5994348324474427,-0.17477332850916982
FX,FOMC,20.82880375701146,small,0.6506717100962511,-0.4811025691660472,0.16825824866546524
FX,CPI,16.88653448881805,small,1.4551617583480336,-0.1010134269181947,0.32366924348532533
FX,FOMC,7.577242145142549,small,0.6963515530800102,-0.4337721529608537,0.2155917383487974
FX,NFP,36.85277317117874,mid,2.2281347890462655,2.1046903563130663,2.754219086767274
FX,CPI,38.60754312108972,mid,2.9254106330078855,2.6934810233507194,3.3430479878763912
FX,NFP,42.56337498504293,big,0.38331147038217495,0.5627294606628922,1.212158061408131
FX,CPI,19.856043683295077,small,0.6834744423289685,-0.5307665558014648,-0.10610213572363991
FX,FOMC,28.13598073085899,mid,1.0941932008523558,-2.3254667654955425,-1.6762257144194321
FX,NFP,1.0652168355407277,small,2.0456695732240515,0.9280810119131736,1.1280524508209937
FX,FOMC,5.709159122420093,small,2.705581227561149,0.2805260559494819,0.9298057872301871
FX,NFP,0.7348110238947214,small,1.340250756591832,0.0076245080020246325,0.20761435585754417
FX,CPI,0.21522872356349865,small,-6.5444462623442945,-7.834179195817681,-7.634032513456779
FX,NFP,0.6867542278321537,small,0.08582438614013199,-0.6451277132164975,-0.44513061555466715
FX,FOMC,6.348743334892992,small,2.2283931571176474,0.4901416391027261,1.1395655262384623
FX,NFP,43.19952046465181,big,4.321121022252683,1.8643362119656453,2.289102344866079
FX,CPI,32.814176825073375,mid,2.606587120030923,-0.5891902078154928,0.060163591171625064
FX,FOMC,25.269426725489375,mid,1.499296352960311,-2.0610322077426075,-1.4117739851833728
FX,NFP,44.35111355044042,big,1.5951507417444333,-1.2790409872649895,-0.6297319848465485
FX,CPI,42.088979518033476,big,0.3001020346915517,-7.362072549387966,-6.937698234365675
FX,NFP,0.6639511066397485,small,1.2285828131219922,0.12525882086817963,0.3252463160611899
FX,CPI,46.760028483265884,big,-17.51064836724936,-17.822857472075835,-17.398927395178717
FX,FOMC,24.339165278763897,mid,2.145596905060998,-0.7280718973108776,-0.07872667535395694
FX,NFP,21.251210459691805,mid,3.7291267903105663,0.3932632373286452,1.0426808335077369
FX,CPI,25.160298103428236,mid,1.1490554763970984,-2.0512269440771553,-1.6266270933880551
FX,FOMC,18.838065578031802,small,1.7131707936135498,-0.25631836487143256,0.3929962250008415
FX,NFP,48.98297507122229,big,13.279733487224776,9.59318539602334,10.01743603803713
FX,CPI,44.58832152455461,big,-22.193363312141834,-21.260214949909304,-20.834654041032728
FX,NFP,42.239395147292136,big,0.9914130834554058,-0.021337306052737426,0.6280533673756586
FX,CPI,41.11601521260777,mid,6.1972118935349485,1.3188814403246156,1.9680937487069454
FX,FOMC,24.437723892205554,mid,0.28813553895723487,0.0120363101800528,0.6614291507793361
FX,NFP,28.17260937509669,mid,8.563030129410398,2.3968557863844446,3.0459980993140072
FX,CPI,43.60433629496008,big,2.1440023863661395,2.3939438653179494,2.81850024114001
